Column1.1,Column1,Column1.3,Column1.4,Column1.5
TIME:3:40:08,,IR1:0,IR2:60,US:65
TIME:3:40:09,,IR1:90,IR2:45,US:45
TIME:3:40:09,,IR1:90,IR2:60,US:37
TIME:3:40:10,,IR1:45,IR2:75,US:94
TIME:3:40:10,,IR1:15,IR2:60,US:82
TIME:3:40:11,,IR1:75,IR2:60,US:80
TIME:3:40:12,,IR1:60,IR2:60,US:124
TIME:3:40:12,,IR1:60,IR2:75,US:66
TIME:3:40:13,,IR1:60,IR2:60,US:89
TIME:3:40:13,,IR1:60,IR2:60,US:75
TIME:3:40:14,,IR1:45,IR2:75,US:77
TIME:3:40:14,,IR1:60,IR2:60,US:77
TIME:3:40:15,,IR1:60,IR2:90,US:65
TIME:3:40:16,,IR1:60,IR2:75,US:53
TIME:3:40:16,,IR1:60,IR2:75,US:41
TIME:3:40:16,,IR1:30,IR2:90,US:33
TIME:3:40:17,,IR1:60,IR2:60,US:31
TIME:3:40:17,,IR1:75,IR2:75,US:36
TIME:3:40:18,,IR1:15,IR2:75,US:28
TIME:3:40:18,,IR1:30,IR2:60,US:87
TIME:3:40:19,,IR1:75,IR2:75,US:106
TIME:3:40:20,,IR1:60,IR2:60,US:94
TIME:3:40:20,,IR1:60,IR2:75,US:82
TIME:3:40:21,,IR1:60,IR2:75,US:70
TIME:3:40:21,,IR1:60,IR2:75,US:57
TIME:3:40:22,,IR1:75,IR2:60,US:44
TIME:3:40:22,,IR1:60,IR2:75,US:31
TIME:3:40:23,,IR1:45,IR2:60,US:21
TIME:3:40:23,,IR1:15,IR2:75,US:69
TIME:3:40:24,,IR1:75,IR2:75,US:57
TIME:3:40:24,,IR1:15,IR2:60,US:36
TIME:3:40:25,,IR1:60,IR2:60,US:121
TIME:3:40:25,,IR1:75,IR2:105,US:111
TIME:3:40:26,,IR1:90,IR2:75,US:101
TIME:3:40:27,,IR1:75,IR2:60,US:89
TIME:3:40:27,,IR1:30,IR2:60,US:80
TIME:3:40:28,,IR1:30,IR2:75,US:69
TIME:3:40:28,,IR1:0,IR2:60,US:63
TIME:3:41:04,,IR1:0,IR2:0,US:78
TIME:3:41:05,,IR1:0,IR2:0,US:78
TIME:3:41:05,,IR1:0,IR2:0,US:78
TIME:3:41:06,,IR1:0,IR2:0,US:77
TIME:3:41:07,,IR1:0,IR2:0,US:78
TIME:3:41:07,,IR1:0,IR2:0,US:77
TIME:3:41:08,,IR1:0,IR2:0,US:78
TIME:3:41:08,,IR1:0,IR2:0,US:71
TIME:3:41:09,,IR1:15,IR2:0,US:77
TIME:3:41:09,,IR1:30,IR2:0,US:77
TIME:3:41:10,,IR1:60,IR2:30,US:74
TIME:3:41:10,,IR1:30,IR2:45,US:69
TIME:3:41:11,,IR1:60,IR2:15,US:63
TIME:3:41:12,,IR1:15,IR2:15,US:60
TIME:3:41:12,,IR1:0,IR2:0,US:58
TIME:3:41:13,,IR1:0,IR2:0,US:58
TIME:3:41:13,,IR1:0,IR2:0,US:58
TIME:3:41:14,,IR1:0,IR2:15,US:58
TIME:3:41:15,,IR1:0,IR2:60,US:32
TIME:3:41:15,,IR1:0,IR2:75,US:49
TIME:3:41:15,,IR1:0,IR2:90,US:41
TIME:3:41:16,,IR1:0,IR2:90,US:35
TIME:3:41:17,,IR1:0,IR2:60,US:87
TIME:3:41:17,,IR1:0,IR2:75,US:85
TIME:3:41:17,,IR1:0,IR2:90,US:16
TIME:3:41:18,,IR1:0,IR2:75,US:32
TIME:3:41:19,,IR1:0,IR2:60,US:48
TIME:3:41:19,,IR1:0,IR2:60,US:42
TIME:3:41:20,,IR1:0,IR2:45,US:35
TIME:3:41:20,,IR1:30,IR2:45,US:92
