Vl,Vr,S
50,65,119
50,65,75
50,65,66
50,65,62
50,45,54
50,35,40
50,35,34
50,35,39
50,35,44
50,55,400
100,80,164
100,80,148
100,80,139
100,115,125
100,115,103
100,115,93
100,95,86
100,95,75
85,95,67
85,95,65
85,95,56
85,65,43
85,65,400
45,65,56
45,65,59
45,50,48
45,50,102
45,50,310
65,50,267
65,50,262
65,75,400
65,75,153
65,75,96
65,75,89
65,85,86
65,85,87
65,85,87
65,85,102
95,85,99
95,85,400
95,85,126
65,55,52
55,25,47
55,35,44
55,60,61
55,60,99
75,60,65
75,60,400
75,85,400
75,85,400
75,60,400
55,60,62
55,60,57
55,45,50
55,45,51
65,45,47
65,55,45
65,55,46
65,55,46
65,75,58
65,75,46
65,75,157
65,75,153
20,50,27
25,65,22
20,105,15
50,95,19
85,120,85
90,130,76
80,145,71
125,105,102
55,85,98
85,75,71
100,75,78
80,135,71
85,95,64
85,110,57
95,40,39
40,95,40
35,85,38
50,95,41
45,95,70
110,100,311
105,95,302
95,105,177
110,125,118
85,105,110
95,100,104
105,115,94
110,90,94
75,80,77
45,55,66
55,60,56
40,50,49
45,80,40
20,85,28
25,100,23
110,120,239
135,140,400
145,150,400
130,105,290
50,20,50
55,25,41
70,25,33
100,25,25
110,90,134
80,75,95
80,75,95
75,70,68
65,75,80
55,60,78
60,60,74
60,60,78
120,110,265
40,35,58
40,35,50
110,105,137
100,105,100
120,125,293
95,95,119
150,145,365
150,150,400
120,120,143
50,25,24
95,25,16
60,20,7
15,50,10
50,25,15
40,25,21
50,30,27
150,150,400
50,10,6
50,15,25
50,15,15
40,15,25
40,15,12
50,10,3
80,85,119
135,135,239
135,135,237
150,150,400
150,150,400
50,25,31
45,10,25
45,15,18
50,35,43
125,125,184
75,70,80
80,75,78
140,140,203
150,150,400
40,15,26
150,150,400
150,150,400
150,150,400
120,125,149
110,105,119
125,125,214
105,110,129
120,120,194
85,85,146
140,145,171
85,85,108
120,120,152
110,110,141
85,90,136
150,150,400
75,75,127
150,150,233
150,150,400
150,150,400
95,100,143
85,85,106
120,120,195
40,50,46
30,35,40
25,35,38
40,50,66
85,90,148
85,90,135
90,85,137
90,85,131
150,150,400
145,145,354
150,150,303
85,85,111
150,150,228
150,150,400
150,150,210
150,150,400
150,150,248
150,150,400
150,140,145
140,130,198
150,150,156
150,150,165
150,150,273
70,65,85
100,105,153
145,140,349
120,120,162
120,120,155
120,120,146
100,95,87
150,145,129
85,85,123
90,85,97
85,85,109
85,85,112
120,120,157
150,150,400
75,80,87
85,85,90
75,75,136
120,120,144
120,120,144
120,120,141
110,105,93
130,130,142
130,130,141
130,130,142
125,125,137
120,120,124
85,90,111
95,85,102
85,85,92
70,70,86
40,45,52
40,35,46
45,25,36
40,15,27
150,150,400
150,150,400
85,85,91
85,85,96
150,150,400
150,150,400
150,150,400
150,150,400
150,150,400
150,150,400
120,110,124
120,120,161
140,140,150
75,75,88
85,85,130
75,70,72
45,45,60
120,125,117
80,80,80
80,80,74
135,135,154
120,120,152
145,145,252
150,150,400
150,150,227
150,150,400
40,25,41
40,40,56
40,40,59
20,30,48
25,40,32
50,40,50
50,40,41
55,50,64
150,150,400
150,150,400
150,150,310
150,150,400
150,150,400
150,150,400
150,150,317
45,10,20
45,10,13
35,10,32
30,10,36
150,150,400
30,10,22
30,10,23
75,75,75
85,85,99
60,65,64
150,150,400
60,55,62
110,115,138
110,115,135
110,110,131
110,110,120
110,110,108
100,110,96
85,85,84
70,70,72
60,65,60
50,50,51
150,150,400
150,150,400
120,110,131
40,10,18
70,10,8
85,10,2
85,10,3
85,10,4
40,10,16
50,20,45
50,20,41
45,30,34
45,25,27
55,65,74
120,120,166
120,120,169
150,150,277
150,150,274
40,45,55
30,55,44
25,45,34
120,120,400
120,105,238
